IMG Number,STOP_TIME,MINIMUM_LATITUDE,MAXIMUM_LATITUDE,WESTERNMOST_LONGITUDE,EASTERNMOST_LONGITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE
IMG_RDR_2017033T005137_V02,2017-02-0200:51:35.257,-29.6383,10.2594,0.0013434,359.9973,206274.9395,206274.9395
IMG_RDR_2017033T005208_V02,2017-02-0200:52:05.729,-28.8877,10.461,0.0010495,359.9986,206166.7128,206166.7128
IMG_RDR_2017033T005238_V02,2017-02-0200:52:36.201,-28.1948,10.6659,0.0013861,359.9962,206058.4588,206058.4588
IMG_RDR_2017033T005308_V02,2017-02-0200:53:06.673,-27.5404,10.8715,0.001313,359.9992,205950.1775,205950.1775
IMG_RDR_2017033T005339_V02,2017-02-0200:53:37.145,-26.9143,11.0765,0.0013823,359.9999,205841.869,205841.869
IMG_RDR_2017033T005409_V02,2017-02-0200:54:07.617,-26.3193,11.2818,0.001656,359.9995,205733.533,205733.533
IMG_RDR_2017033T005440_V02,2017-02-0200:54:38.090,-25.3928,11.6292,0.00022584,360,205625.1662,205625.1662
IMG_RDR_2017033T005510_V02,2017-02-0200:55:08.561,-25.2055,11.6883,9.8722-05,359.9991,205516.7791,205516.7791
IMG_RDR_2017033T005541_V02,2017-02-0200:55:39.034,-24.3323,12.0366,0.0021232,359.9997,205408.3575,205408.3575
IMG_RDR_2017033T005611_V02,2017-02-0200:56:09.505,-24.1596,12.096,0.0013406,359.996,205299.9156,205299.9156
IMG_RDR_2017033T005642_V02,2017-02-0200:56:39.978,-23.3318,12.4431,0.0016668,359.9999,205191.4391,205191.4391
IMG_RDR_2017033T005712_V02,2017-02-0200:57:10.448,-23.1678,12.5025,0.00078297,359.9999,205082.9422,205082.9422
IMG_RDR_2017033T005743_V02,2017-02-0200:57:40.920,-22.701,12.7025,0.0011446,359.997,204974.4142,204974.4142
IMG_RDR_2017033T005813_V02,2017-02-0200:58:11.393,-21.9491,13.0433,0.00080647,359.9988,204865.8552,204865.8552
IMG_RDR_2017033T005844_V02,2017-02-0200:58:41.865,-21.5017,13.2472,0.001158,359.9992,204757.2722,204757.2722
IMG_RDR_2017033T005914_V02,2017-02-0200:59:12.337,-21.0589,13.4523,0.00028354,359.9985,204648.6616,204648.6616
